t,i,j,readers
1499935200,387,461,['078']
1499935200,453,1881,['078']
1499935200,1168,1748,"['015', '078']"
1499935220,32,461,"['015', '078']"
1499935220,333,1622,"['015', '078']"
1499935220,353,1116,"['015', '078']"
1499935220,387,461,"['015', '078']"
1499935220,502,1622,"['015', '078']"
1499935220,1063,1887,"['015', '078']"
1499935240,47,1887,"['015', '078']"
1499935240,70,387,['015']
1499935240,296,1574,"['015', '078']"
1499935240,333,1622,['015']
1499935240,453,1881,"['015', '078']"
1499935240,500,1482,['036']
1499935240,557,1482,['036']
1499935240,597,1482,['036']
1499935260,453,1881,"['015', '078']"
1499935260,597,1482,"['036', '305']"
1499935260,1168,1677,"['015', '078']"
1499935280,32,461,['015']
1499935280,353,1116,['078']
1499935280,387,461,['015']
1499935300,47,1887,"['015', '078']"
1499935300,453,1881,['015']
1499935320,32,387,['078']
1499935320,347,1748,"['015', '078']"
1499935320,453,1881,['078']
1499935320,1168,1677,['015']
1499935340,32,387,['015']
1499935340,353,1116,"['015', '078']"
1499935340,502,1622,['078']
1499935340,882,1441,"['015', '078']"
1499935360,28,995,['015']
1499935360,47,333,['015']
1499935360,47,1887,['015']
1499935360,296,1574,['015']
1499935360,453,1881,['015']
1499935380,32,387,"['015', '078']"
1499935380,158,1677,"['015', '078']"
1499935380,387,461,"['015', '078']"
1499935380,453,1881,['078']
1499935380,1168,1677,"['015', '078']"
1499935400,32,387,"['015', '078']"
1499935400,347,884,"['015', '078']"
1499935400,353,1116,"['015', '078']"
1499935400,502,1622,"['015', '078']"
1499935440,47,1887,"['015', '078']"
1499935440,387,461,"['015', '078']"
1499935440,1168,1677,"['015', '078']"
1499935440,1674,1902,"['015', '078']"
1499935460,333,1622,['078']
1499935460,353,1116,"['015', '078']"
1499935460,502,1622,"['015', '078']"
1499935480,47,1887,['015']
1499935500,32,387,"['015', '078']"
1499935500,47,1887,"['015', '078']"
1499935500,70,387,"['015', '078']"
1499935500,387,461,"['015', '078']"
1499935500,1674,1902,"['015', '078']"
1499935520,502,1622,['078']
1499935540,1063,1887,['015']
1499935560,32,387,"['015', '078']"
1499935560,47,1887,"['015', '078']"
1499935560,70,387,"['015', '078']"
1499935560,296,1574,"['015', '078']"
1499935560,1063,1887,"['015', '078']"
1499935560,1674,1902,"['015', '078']"
1499935580,32,387,['015']
1499935580,158,1168,"['015', '078']"
1499935580,333,1622,"['015', '078']"
1499935580,502,1622,"['015', '078']"
1499935600,276,1202,"['015', '078']"
1499935600,1063,1887,['015']
1499935620,32,387,"['015', '078']"
1499935620,70,387,"['015', '078']"
1499935620,276,1202,['015']
1499935620,333,1622,['015']
1499935620,334,1202,['015']
1499935620,1674,1902,"['015', '078']"
1499935640,32,387,['015']
1499935640,158,1168,"['015', '078']"
1499935640,333,1622,"['015', '078']"
1499935640,353,1116,['015']
1499935640,502,1622,"['015', '078']"
1499935680,32,387,"['015', '078']"
1499935680,47,1887,"['015', '078']"
1499935680,276,1202,['015']
1499935680,296,1574,"['015', '078']"
1499935680,387,461,"['015', '078']"
1499935680,453,1881,"['015', '078']"
1499935680,1063,1887,"['015', '078']"
1499935680,1674,1902,"['015', '078']"
1499935700,32,387,"['015', '078']"
1499935700,158,1168,"['015', '078']"
1499935700,333,1622,['078']
1499935700,453,1881,"['015', '078']"
1499935700,502,1622,['078']
1499935720,353,1116,['078']
1499935740,32,387,['078']
1499935740,46,255,"['015', '078']"
1499935740,296,1574,"['015', '078']"
1499935740,387,461,['078']
1499935740,1674,1902,"['015', '078']"
1499935760,32,387,['015']
1499935760,158,1168,"['015', '078']"
1499935760,334,1677,"['015', '078']"
1499935760,453,1881,"['015', '078']"
1499935780,353,1116,['078']
1499935780,558,1421,"['015', '078']"
1499935800,32,387,['078']
1499935800,46,255,"['015', '078']"
1499935800,70,387,['078']
1499935800,276,1674,['078']
1499935800,387,461,['078']
1499935800,453,1881,"['015', '078']"
1499935800,558,1421,"['015', '078']"
1499935800,558,1551,"['015', '078']"
1499935800,1674,1902,"['015', '078']"
1499935820,453,1881,"['015', '078']"
1499935840,353,1116,['078']
1499935840,558,1421,"['015', '078']"
1499935840,1409,1809,"['015', '078']"
1499935860,46,255,"['015', '078']"
1499935860,47,1622,"['015', '078']"
1499935860,47,1887,"['015', '078']"
1499935860,70,387,"['015', '078']"
1499935860,314,695,"['005', '036', '082', '305']"
1499935860,453,1881,['015']
1499935860,1409,1809,['078']
1499935880,47,1887,['015']
1499935880,158,1168,"['015', '078']"
1499935880,158,1677,"['015', '078']"
1499935880,333,502,"['015', '078']"
1499935880,453,1881,['078']
1499935900,32,387,['078']
1499935900,47,1622,"['015', '078']"
1499935900,158,1168,"['015', '078']"
1499935900,333,502,"['015', '078']"
1499935900,353,1116,"['015', '078']"
1499935900,453,502,"['015', '078']"
1499935900,558,1421,"['015', '078']"
1499935900,1409,1809,"['015', '078']"
1499935920,32,387,"['015', '078']"
1499935920,46,255,['015']
1499935920,47,1887,"['015', '078']"
1499935920,296,1574,"['015', '078']"
1499935920,314,695,"['005', '036', '082', '305']"
1499935920,387,461,"['015', '078']"
1499935940,47,1887,['015']
1499935940,158,1168,"['015', '078']"
1499935940,158,1677,"['015', '078']"
1499935940,597,1482,"['005', '036', '305']"
1499935960,32,387,"['015', '078']"
1499935960,158,1168,['015']
1499935960,353,1116,['078']
1499935980,276,1202,"['015', '078']"
1499935980,314,695,"['005', '036', '082', '305']"
1499935980,1074,1108,['078']
1499936000,46,255,['078']
1499936000,47,1887,['078']
1499936000,158,1168,['015']
1499936000,158,1677,['015']
1499936020,32,387,"['015', '078']"
1499936020,32,461,"['015', '078']"
1499936020,158,1168,"['015', '078']"
1499936020,353,1116,"['015', '078']"
1499936060,158,1168,"['015', '078']"
1499936060,158,1677,"['015', '078']"
1499936060,558,1421,"['015', '078']"
1499936060,710,741,"['015', '078']"
1499936060,852,1674,"['015', '078']"
1499936060,1080,1902,"['015', '078']"
1499936060,1674,1902,"['015', '078']"
1499936080,158,1168,['015']
1499936080,181,884,['015']
1499936080,353,1116,"['015', '078']"
1499936120,158,1168,"['015', '078']"
1499936120,158,1677,"['015', '078']"
1499936120,1080,1902,['078']
1499936120,1674,1902,['078']
1499936140,32,461,"['015', '078']"
1499936140,158,1677,['078']
1499936140,353,1116,['015']
1499936140,1168,1677,['078']
1499936160,45,1421,['078']
1499936160,558,1421,['078']
1499936160,579,1482,"['005', '036', '082']"
1499936160,597,1482,"['005', '036', '082']"
1499936180,28,995,"['015', '078']"
1499936180,276,1202,"['015', '078']"
1499936180,453,1881,"['015', '078']"
1499936180,1063,1887,['015']
1499936180,1674,1902,"['015', '078']"
1499936200,32,461,"['015', '078']"
1499936200,172,1422,['015']
1499936200,500,579,"['005', '011', '036', '082']"
1499936200,597,1482,"['036', '082', '305']"
1499936200,710,1052,['305']
1499936200,852,1674,['015']
1499936220,558,1421,"['015', '078']"
1499936240,276,1674,"['015', '078']"
1499936240,296,1574,['078']
1499936240,453,1881,"['015', '078']"
1499936240,852,1674,"['015', '078']"
1499936240,1116,1441,"['015', '078']"
1499936240,1202,1674,"['015', '078']"
1499936240,1674,1902,"['015', '078']"
1499936260,32,461,"['015', '078']"
1499936260,333,461,['078']
1499936260,353,1116,['015']
1499936260,453,1881,"['015', '078']"
1499936260,579,597,"['011', '036']"
1499936260,852,1674,['015']
1499936260,1116,1441,['015']
1499936260,1168,1677,"['015', '078']"
1499936280,353,1116,"['015', '078']"
1499936280,502,1622,"['015', '078']"
1499936280,1168,1748,"['015', '078']"
1499936300,852,1674,"['015', '078']"
1499936320,353,1116,"['015', '078']"
1499936320,1168,1677,"['015', '078']"
1499936340,353,1116,['078']
1499936360,579,597,['154']
1499936360,579,1889,['154']
1499936360,852,1674,"['015', '078']"
1499936360,1116,1441,"['015', '078']"
1499936360,1674,1902,"['015', '078']"
1499936380,213,1080,['078']
1499936380,353,1116,['078']
1499936400,353,1116,"['015', '078']"
1499936420,296,1574,"['015', '078']"
1499936440,213,1080,"['015', '078']"
1499936440,234,1080,"['015', '078']"
1499936440,353,1116,['015']
1499936440,1168,1677,"['015', '078']"
1499936460,710,1052,"['005', '036']"
1499936480,1409,1809,"['015', '078']"
1499936500,213,1080,"['015', '078']"
1499936500,234,1080,"['015', '078']"
1499936500,353,1116,"['015', '078']"
1499936500,1074,1108,"['015', '078']"
1499936500,1080,1902,"['015', '078']"
1499936520,852,1674,"['015', '078']"
1499936540,500,579,"['036', '305']"
1499936540,1409,1809,"['015', '078']"
1499936560,32,70,"['015', '078']"
1499936560,47,333,"['015', '078']"
1499936560,47,461,"['015', '078']"
1499936560,47,502,"['015', '078']"
1499936560,158,1677,"['015', '078']"
1499936560,334,1677,"['015', '078']"
1499936560,597,1457,['036']
1499936560,597,1482,['036']
1499936560,974,1881,['015']
1499936560,1202,1677,"['015', '078']"
1499936580,32,488,"['015', '078']"
1499936580,47,333,['015']
1499936580,158,1168,"['005', '011', '036', '305']"
1499936580,255,649,"['015', '078']"
1499936580,333,461,['015']
1499936580,333,1622,['015']
1499936580,333,1852,['015']
1499936580,353,1116,['015']
1499936580,387,649,"['015', '078']"
1499936580,461,649,"['015', '078']"
1499936580,581,1168,"['005', '011', '036', '305']"
1499936580,649,882,"['015', '078']"
1499936580,649,1441,"['015', '078']"
1499936580,888,1574,"['015', '078']"
1499936580,974,1168,"['005', '011', '036', '305']"
1499936580,1168,1889,"['005', '011', '036', '305']"
1499936600,45,46,['015']
1499936600,46,254,['015']
1499936600,46,461,['015']
1499936600,46,1551,['015']
1499936600,47,299,['015']
1499936600,173,496,"['015', '078']"
1499936600,173,1037,"['015', '078']"
1499936600,213,1190,['015']
1499936600,234,378,"['015', '078']"
1499936600,299,502,['015']
1499936600,299,1852,['015']
1499936600,314,512,"['011', '036', '305']"
1499936600,347,1809,"['015', '036']"
1499936600,502,1644,"['015', '078']"
1499936600,884,1190,"['015', '078']"
1499936600,991,1809,"['015', '036']"
1499936600,1409,1748,['015']
1499936600,1457,1482,['154']
1499936600,1644,1852,"['015', '078']"
1499936600,1748,1887,['015']
1499936600,1748,1889,['015']
1499936620,45,461,"['015', '078']"
1499936620,47,558,"['015', '078']"
1499936620,173,496,"['015', '078']"
1499936620,221,1076,"['015', '036']"
1499936620,314,512,"['011', '305']"
1499936620,318,1076,"['015', '036']"
1499936620,333,461,"['015', '078']"
1499936620,387,1677,"['005', '011', '014', '036', '154', '305']"
1499936620,558,882,"['015', '078']"
1499936620,579,597,['036']
1499936620,882,1441,"['015', '078']"
1499936640,32,296,['078']
1499936640,32,649,"['015', '078']"
1499936640,32,1053,['078']
1499936640,32,1811,['078']
1499936640,49,333,"['011', '154', '305']"
1499936640,158,1168,"['036', '305']"
1499936640,173,453,"['015', '078']"
1499936640,254,1452,"['005', '011', '036']"
1499936640,333,461,"['011', '154', '305']"
1499936640,333,512,"['011', '154', '305']"
1499936640,333,741,"['011', '154', '305']"
1499936640,500,597,['036']
1499936640,649,1811,"['015', '078']"
1499936640,710,791,"['005', '036']"
1499936640,797,1202,['305']
1499936640,832,1074,['015']
1499936640,888,1574,"['015', '078']"
1499936640,1202,1401,['305']
1499936640,1574,1795,"['015', '078']"
1499936660,21,1644,"['015', '078']"
1499936660,32,296,"['015', '078']"
1499936660,32,1053,"['015', '078']"
1499936660,47,882,"['011', '014', '015', '036']"
1499936660,101,299,"['015', '078']"
1499936660,101,1190,"['015', '078']"
1499936660,106,1809,['036']
1499936660,173,496,"['015', '078']"
1499936660,296,1053,"['015', '078']"
1499936660,296,1811,"['015', '078']"
1499936660,299,1190,"['015', '078']"
1499936660,314,512,"['005', '011', '305']"
1499936660,314,882,"['005', '011', '014', '015', '036', '305']"
1499936660,378,882,"['011', '014', '015', '036']"
1499936660,487,882,"['011', '014', '015', '036']"
1499936660,502,882,"['011', '014', '015', '036']"
1499936660,553,1809,['036']
1499936660,597,737,['036']
1499936660,882,1464,"['011', '014', '015', '036']"
1499936660,882,1551,"['011', '014', '015', '036']"
1499936660,882,1902,"['011', '014', '015', '036']"
1499936660,991,1809,['036']
1499936660,1053,1811,"['015', '078']"
1499936660,1644,1818,"['015', '078']"
1499936660,1809,1852,['036']
1499936680,101,299,['015']
1499936680,101,1190,['015']
1499936680,209,254,"['011', '036', '305']"
1499936680,209,333,"['036', '305']"
1499936680,254,461,"['011', '036', '305']"
1499936680,314,512,"['011', '305']"
1499936680,333,347,"['005', '011', '036', '305']"
1499936680,333,1076,"['036', '305']"
1499936680,347,461,"['005', '011', '036', '305']"
1499936680,461,1076,"['036', '305']"
1499936680,597,737,"['011', '036', '305']"
1499936680,597,741,"['011', '036', '305']"
1499936680,845,1076,"['036', '305']"
1499936680,1401,1852,"['005', '011', '036', '305']"
1499936700,32,296,"['015', '078']"
1499936700,32,649,"['015', '078']"
1499936700,32,1053,"['015', '078']"
1499936700,32,1323,"['015', '078']"
1499936700,32,1811,"['015', '078']"
1499936700,221,1677,"['011', '036']"
1499936700,254,1063,"['011', '036', '305']"
1499936700,255,1677,"['011', '036']"
1499936700,296,649,"['015', '078']"
1499936700,461,1677,"['011', '036']"
1499936700,540,1260,"['005', '036', '305']"
1499936700,649,1811,"['015', '078']"
1499936700,710,1052,"['005', '036']"
1499936700,710,1911,"['005', '036']"
1499936700,744,1421,"['036', '305']"
1499936700,888,1574,"['015', '078']"
1499936700,888,1795,"['015', '078']"
1499936720,32,296,"['015', '078']"
1499936720,101,299,"['015', '078']"
1499936720,101,1190,"['015', '078']"
1499936720,162,882,"['005', '011', '036', '154', '305']"
1499936720,221,1748,"['011', '015', '305']"
1499936720,234,519,"['005', '036']"
1499936720,296,649,"['015', '078']"
1499936720,296,1053,"['015', '078']"
1499936720,296,1323,"['015', '078']"
1499936720,296,1811,"['015', '078']"
1499936720,299,1190,"['015', '078']"
1499936720,314,512,"['011', '305']"
1499936720,314,1644,"['005', '011', '014', '038', '305']"
1499936720,347,1809,['305']
1499936720,500,597,['154']
1499936720,519,1076,"['005', '036']"
1499936720,597,741,"['036', '154', '305']"
1499936720,649,1053,"['015', '078']"
1499936720,744,1421,"['011', '036']"
1499936720,991,1809,['305']
1499936720,1053,1323,"['015', '078']"
1499936720,1053,1811,"['015', '078']"
1499936720,1457,1482,['154']
1499936720,1644,1818,"['005', '011', '014', '038']"
1499936720,1809,1887,['305']
1499936740,49,496,"['011', '014', '036', '305']"
1499936740,173,496,"['011', '014', '036', '305']"
1499936740,314,512,"['011', '036', '305']"
1499936740,318,845,"['005', '011', '305']"
1499936740,318,1076,['011']
1499936740,347,1809,"['036', '294', '305']"
1499936740,500,597,"['011', '036']"
1499936740,500,741,"['011', '036']"
1499936740,540,974,['015']
1499936760,32,296,['078']
1499936760,32,649,['078']
1499936760,32,1323,['078']
1499936760,32,1811,"['015', '078']"
1499936760,158,1168,"['036', '305']"
1499936760,162,882,['011']
1499936760,296,1811,"['015', '078']"
1499936760,333,1644,"['011', '036', '305']"
1499936760,333,1677,"['005', '011', '036', '305']"
1499936760,333,1818,"['011', '036', '305']"
1499936760,461,1677,"['005', '011', '036']"
1499936760,502,1464,"['005', '305']"
1499936760,649,1811,"['015', '078']"
1499936760,1053,1811,"['015', '078']"
1499936760,1421,1464,"['005', '305']"
1499936760,1464,1674,"['005', '305']"
1499936780,32,296,"['015', '078']"
1499936780,32,1323,"['015', '078']"
1499936780,101,695,"['036', '305']"
1499936780,101,1190,"['036', '305']"
1499936780,101,1670,"['011', '036', '305']"
1499936780,162,882,"['011', '015', '036', '305']"
1499936780,209,1670,"['011', '036', '305']"
1499936780,296,649,"['015', '078']"
1499936780,296,1053,"['015', '078']"
1499936780,296,1811,"['015', '078']"
1499936780,299,695,"['036', '305']"
1499936780,299,1190,"['036', '305']"
1499936780,299,1670,"['011', '036', '305']"
1499936780,314,1421,"['015', '036', '305']"
1499936780,488,1323,"['015', '078']"
1499936780,502,1421,"['015', '036', '305']"
1499936780,574,695,"['036', '305']"
1499936780,649,1053,"['015', '078']"
1499936780,649,1323,"['015', '078']"
1499936780,695,1074,"['036', '305']"
1499936780,695,1670,"['011', '036', '305']"
1499936780,888,1053,"['015', '078']"
1499936780,1053,1811,"['015', '078']"
1499936780,1074,1670,"['011', '036', '305']"
1499936780,1190,1670,"['011', '036', '305']"
1499936780,1323,1811,"['015', '078']"
1499936780,1551,1617,"['011', '305']"
1499936800,255,461,"['036', '305']"
1499936800,314,512,"['015', '305']"
1499936800,347,1809,['305']
1499936800,574,1190,"['005', '036']"
1499936800,574,1670,"['005', '036']"
1499936800,888,1574,"['015', '078']"
1499936820,49,173,"['011', '036', '305']"
1499936820,158,1168,"['036', '305']"
1499936820,162,882,['305']
1499936820,162,1190,['305']
1499936820,162,1889,['305']
1499936820,296,649,['015']
1499936820,333,461,"['005', '011', '036', '305']"
1499936820,333,1677,"['005', '011', '036', '305']"
1499936820,461,1677,"['005', '036']"
1499936820,502,1464,"['005', '305']"
1499936820,649,1053,['015']
1499936820,649,1574,['015']
1499936820,832,1852,"['036', '305']"
1499936820,1409,1441,"['011', '036', '305']"
1499936840,45,1818,"['005', '011', '036']"
1499936840,97,1202,['305']
1499936840,162,882,"['011', '014', '036', '305']"
1499936840,209,695,['305']
1499936840,209,1670,"['036', '305']"
1499936840,296,649,"['015', '078']"
1499936840,296,1053,"['015', '078']"
1499936840,333,1818,"['005', '011', '036']"
1499936840,502,544,['011']
1499936840,502,1421,['011']
1499936840,502,1464,['011']
1499936840,695,741,['305']
1499936840,695,882,"['011', '014', '036', '305']"
1499936840,695,1441,['305']
1499936840,695,1670,"['036', '305']"
1499936840,741,1670,"['036', '305']"
1499936840,882,1190,"['011', '014', '036', '305']"
1499936840,1202,1401,['305']
1499936840,1202,1902,['305']
1499936840,1457,1818,"['005', '011', '036']"
1499936840,1644,1818,"['005', '011', '036']"
1499936840,1677,1818,"['005', '011', '036']"
1499936860,21,333,"['036', '305']"
1499936860,21,558,"['036', '305']"
1499936860,79,888,"['015', '078']"
1499936860,97,1409,"['011', '014', '305']"
1499936860,209,695,"['011', '015', '305']"
1499936860,209,741,"['005', '011', '015', '036', '305']"
1499936860,255,461,"['005', '305']"
1499936860,314,512,"['011', '305']"
1499936860,347,1809,['305']
1499936860,741,882,"['005', '011', '036', '305']"
1499936860,741,1190,"['005', '011', '036', '305']"
1499936860,741,1670,"['005', '011', '036', '305']"
1499936860,888,1574,"['015', '078']"
1499936860,1108,1452,"['005', '036']"
1499936860,1108,1852,"['005', '036']"
1499936860,1457,1502,"['005', '011', '036', '305']"
1499936860,1457,1889,"['005', '011', '036', '305']"
1499936880,49,173,['305']
1499936880,49,496,['305']
1499936880,97,1902,"['011', '305']"
1499936880,101,741,"['036', '305']"
1499936880,101,1190,"['036', '305']"
1499936880,158,1168,"['036', '305']"
1499936880,318,1076,['305']
1499936880,333,1677,"['005', '011', '036', '305']"
1499936880,353,1116,"['036', '305']"
1499936880,461,1677,"['005', '011', '036', '305']"
1499936880,502,1464,"['011', '305']"
1499936880,581,744,"['005', '011', '036']"
1499936880,1116,1889,"['036', '305']"
1499936880,1409,1902,"['011', '305']"
1499936900,101,1190,"['005', '011', '036']"
1499936900,296,649,"['015', '078']"
1499936900,296,1053,"['015', '078']"
1499936900,318,461,"['005', '014']"
1499936900,318,845,"['005', '014']"
1499936900,318,1076,"['005', '014']"
1499936900,318,1116,"['005', '014']"
1499936900,318,1889,"['005', '014']"
1499936900,488,502,"['011', '036', '305']"
1499936900,502,1464,"['011', '036', '305']"
1499936900,502,1574,"['011', '036', '305']"
1499936900,574,1668,"['015', '078']"
1499936900,695,1421,"['011', '036', '305']"
1499936900,695,1670,"['011', '015', '036', '305']"
1499936900,882,1670,"['011', '015', '305']"
1499936900,882,1811,"['011', '036', '305']"
1499936900,1421,1670,"['011', '015', '305']"
1499936900,1452,1811,"['011', '036', '305']"
1499936900,1457,1502,['154']
1499936900,1574,1811,"['011', '036', '305']"
1499936900,1644,1818,"['005', '011', '036']"
1499936920,21,173,"['005', '011', '036']"
1499936920,21,488,"['005', '011', '036', '154', '305']"
1499936920,21,544,"['005', '011', '036']"
1499936920,21,1574,"['005', '011', '036']"
1499936920,79,888,['078']
1499936920,97,1409,"['014', '305']"
1499936920,255,461,"['011', '036', '305']"
1499936920,314,512,['011']
1499936920,318,845,"['005', '011', '036']"
1499936920,333,461,"['011', '036', '305']"
1499936920,347,991,"['036', '305']"
1499936920,347,1809,"['036', '305']"
1499936920,461,1677,"['011', '036', '305']"
1499936920,488,1574,"['005', '011', '036', '154', '305']"
1499936920,1401,1409,"['014', '305']"
1499936920,1409,1902,"['014', '305']"
1499936920,1457,1502,"['005', '011', '154', '305']"
1499936920,1457,1574,"['005', '011', '154', '305']"
1499936940,45,1212,['305']
1499936940,47,558,"['005', '011', '036']"
1499936940,97,1902,"['011', '305']"
1499936940,158,1168,"['036', '305']"
1499936940,242,557,"['015', '078']"
1499936940,254,1441,"['005', '036']"
1499936940,318,1076,"['011', '305']"
1499936940,333,461,"['005', '036', '154', '305']"
1499936940,333,1449,"['005', '036', '154', '305']"
1499936940,333,1574,"['005', '036', '154', '305']"
1499936940,333,1677,"['005', '036', '154', '305']"
1499936940,353,1116,"['005', '036', '305']"
1499936940,461,1677,"['005', '036']"
1499936940,491,1074,"['011', '305']"
1499936940,502,1464,"['011', '305']"
1499936940,581,744,"['005', '011', '036', '154', '305']"
1499936940,832,1074,"['011', '305']"
1499936940,882,1074,"['011', '305']"
1499936940,1074,1449,"['011', '305']"
1499936940,1202,1902,"['011', '305']"
1499936940,1574,1677,"['005', '036']"
1499936960,101,1190,"['011', '036', '305']"
1499936960,101,1811,"['011', '036']"
1499936960,296,649,"['015', '078']"
1499936960,314,461,"['011', '038']"
1499936960,314,512,"['011', '038']"
1499936960,314,1053,"['011', '036', '038']"
1499936960,461,502,"['036', '305']"
1499936960,502,1464,"['036', '305']"
1499936960,512,1053,"['011', '036']"
1499936960,695,1037,"['011', '036', '305']"
1499936960,695,1670,"['011', '036', '305']"
1499936960,1037,1670,['305']
1499936960,1190,1811,"['011', '036', '305']"
1499936960,1449,1818,"['005', '036']"
1499936960,1644,1818,"['005', '011', '036', '305']"
1499936980,45,1212,['011']
1499936980,49,173,"['011', '036', '305']"
1499936980,79,888,"['015', '078']"
1499936980,97,1409,"['294', '305']"
1499936980,162,1748,"['011', '015', '036', '305']"
1499936980,173,496,"['011', '036', '305']"
1499936980,209,741,"['036', '305']"
1499936980,314,512,"['011', '305']"
1499936980,347,1809,"['036', '154', '305']"
1499936980,461,1457,"['011', '036']"
1499936980,488,1574,['036']
1499936980,512,1053,"['011', '305']"
1499936980,519,1063,['036']
1499936980,574,1748,"['011', '015', '036', '305']"
1499936980,695,741,"['036', '305']"
1499936980,882,1748,"['011', '015', '036', '305']"
1499936980,1074,1421,"['011', '036', '305']"
1499936980,1076,1457,"['011', '036']"
1499936980,1202,1409,"['294', '305']"
1499936980,1409,1902,"['294', '305']"
1499936980,1457,1502,"['005', '011', '036']"
1499936980,1457,1622,"['011', '036']"
1499937000,32,1168,"['036', '305']"
1499937000,45,1212,['305']
1499937000,47,558,"['036', '082', '305']"
1499937000,49,173,"['005', '011', '036', '305']"
1499937000,49,496,"['005', '011', '036', '305']"
1499937000,101,1190,"['011', '036', '305']"
1499937000,101,1811,"['011', '036', '305']"
1499937000,158,1168,"['036', '305']"
1499937000,173,496,['305']
1499937000,209,1168,"['036', '305']"
1499937000,254,1441,['005']
1499937000,333,461,"['005', '011', '036', '154', '305']"
1499937000,333,1677,"['005', '011', '036', '154', '305']"
1499937000,353,1116,"['036', '305']"
1499937000,461,1677,"['005', '036', '305']"
1499937000,502,1464,"['011', '305']"
1499937000,558,579,['036']
1499937000,581,744,"['005', '011', '305']"
1499937000,581,1421,"['005', '011', '305']"
1499937000,1108,1168,"['036', '305']"
1499937020,101,1811,"['011', '036', '305']"
1499937020,158,695,"['005', '011', '036', '305']"
1499937020,162,882,"['011', '015', '036']"
1499937020,221,882,"['011', '015', '036']"
1499937020,296,649,"['015', '078']"
1499937020,314,512,"['011', '038']"
1499937020,314,1053,"['005', '011', '038', '305']"
1499937020,318,461,"['036', '305']"
1499937020,318,845,"['036', '305']"
1499937020,318,1076,"['036', '305']"
1499937020,461,797,"['011', '305']"
1499937020,502,741,"['005', '011', '036', '305']"
1499937020,502,1464,"['005', '011', '036', '305']"
1499937020,512,1053,"['005', '011', '305']"
1499937020,553,1887,['305']
1499937020,574,882,"['011', '015', '036']"
1499937020,579,737,"['005', '036']"
1499937020,695,1037,"['005', '011', '036', '305']"
1499937020,695,1168,"['005', '011', '036', '305']"
1499937020,695,1670,"['005', '011', '036', '305']"
1499937020,882,1748,"['011', '015', '036']"
1499937020,1037,1670,"['011', '036', '305']"
1499937020,1074,1670,"['011', '036', '305']"
1499937020,1168,1811,"['011', '036', '305']"
1499937020,1190,1811,"['011', '036', '305']"
1499937020,1202,1409,['305']
1499937020,1644,1818,"['036', '305']"
1499937040,45,1212,['305']
1499937040,79,888,"['011', '014', '305']"
1499937040,79,1168,"['011', '305']"
1499937040,162,574,"['011', '036', '305']"
1499937040,221,574,"['011', '036', '305']"
1499937040,314,512,['305']
1499937040,347,1809,"['011', '015', '036', '305']"
1499937040,480,500,"['036', '305']"
1499937040,512,1053,['305']
1499937040,574,882,"['011', '036', '305']"
1499937040,574,1748,"['011', '036', '305']"
1499937040,579,737,"['005', '011', '036', '305']"
1499937040,845,1457,"['005', '011', '036', '305']"
1499937040,882,1748,"['036', '305']"
1499937040,888,1053,"['011', '014', '305']"
1499937040,991,1809,"['011', '015', '305']"
1499937040,1074,1748,"['036', '305']"
1499937040,1076,1457,"['005', '011', '036', '305']"
1499937040,1457,1502,"['005', '011', '036', '305']"
1499937040,1457,1889,"['005', '011', '036', '305']"
1499937060,45,1212,"['036', '305']"
1499937060,47,558,"['005', '036']"
1499937060,101,1190,"['011', '036', '305']"
1499937060,101,1811,"['011', '036', '305']"
1499937060,158,1677,"['005', '036', '305']"
1499937060,173,496,['305']
1499937060,333,461,"['005', '011', '036', '154', '305']"
1499937060,333,1677,"['005', '011', '036', '154', '305']"
1499937060,461,1677,"['005', '036', '305']"
1499937060,480,1889,['011']
1499937060,502,1464,"['005', '036', '305']"
1499937060,581,744,"['005', '011', '036', '305']"
1499937060,845,1889,['011']
1499937060,1457,1889,['011']
1499937080,101,1670,"['036', '305']"
1499937080,101,1811,"['011', '036']"
1499937080,158,634,['036']
1499937080,162,882,"['011', '036', '305']"
1499937080,221,882,"['011', '036', '305']"
1499937080,296,649,"['015', '078']"
1499937080,314,512,"['011', '305']"
1499937080,314,1053,"['011', '305']"
1499937080,318,461,['036']
1499937080,318,845,['036']
1499937080,318,1076,['036']
1499937080,333,634,['036']
1499937080,353,1116,"['036', '305']"
1499937080,480,1818,"['005', '036']"
1499937080,502,741,['305']
1499937080,502,1168,['305']
1499937080,502,1464,['305']
1499937080,512,1053,"['011', '305']"
1499937080,519,1063,"['036', '305']"
1499937080,574,882,"['011', '036', '305']"
1499937080,634,1677,['036']
1499937080,634,1889,['036']
1499937080,882,1748,"['011', '036', '305']"
1499937080,1074,1670,"['036', '305']"
1499937080,1323,1670,"['011', '036', '305']"
1499937080,1644,1818,"['005', '036', '154']"
1499937100,45,1212,"['011', '305']"
1499937100,79,553,"['011', '036', '305']"
1499937100,79,888,"['011', '036', '305']"
1499937100,162,574,"['015', '036', '305']"
1499937100,162,1748,"['036', '305']"
1499937100,173,496,"['011', '036', '305']"
1499937100,234,634,"['005', '011', '036']"
1499937100,234,921,"['005', '011', '036']"
1499937100,299,1668,"['015', '078']"
1499937100,314,512,"['011', '305']"
1499937100,333,1457,"['011', '305']"
1499937100,347,991,"['036', '305']"
1499937100,347,1809,"['015', '036', '305']"
1499937100,454,480,['036']
